,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
1,2,2,2,ステイフーリッシュ,牡6,56.0,和田 竜二,2:10.6,1 1/4,2-2-2-1,35.2,470,+6,矢作 芳人,3
2,3,7,9,ダンビュライト,せん7,56.0,松若 風馬,2:10.7,1/2,3-3-3-2,35.1,504,+6,音無 秀孝,6
3,4,8,10,ジナンボー,牡6,56.0,岩田 康誠,2:10.9,3/4,8-8-4-3,35.1,486,-6,堀 宣行,7
4,5,6,7,ワグネリアン,牡6,57.0,武 豊,2:11.1,1 1/4,9-9-9-6,35.1,472,+2,友道 康夫,2
5,6,5,5,ダンスディライト,牡5,56.0,岩田 望来,2:11.1,クビ,4-6-7-6,35.2,500,+4,松永 幹夫,4
6,7,8,11,サトノルークス,牡5,56.0,幸 英明,2:11.2,1/2,10-10-10-10,35.0,488,+8,池江 泰寿,8
7,8,7,8,モズベッロ,牡5,56.0,三浦 皇成,2:11.2,クビ,10-10-10-10,35.0,484,+8,森田 直行,5
8,9,6,6,レイエンダ,牡6,56.0,団野 大成,2:11.6,2,7-6-4-3,35.9,494,-12,藤沢 和雄,10
9,10,3,3,ベストアプローチ,せん7,56.0,酒井 学,2:11.7,1/2,4-5-7-6,35.8,486,-10,小島 茂之,9
10,11,1,1,ハッピーグリン,牡6,56.0,北村 友一,2:15.3,大差,1-1-1-6,39.8,472,+12,森 秀行,11
0,1,6,9,テーオーロイヤル,牡4,54.0,菱田 裕二,3:30.1,,4-4-3-3,34.8,456,0,岡田 稲男,2
1,2,8,14,ランフォザローゼス,せん6,54.0,田中 勝春,3:30.5,2 1/2,11-11-11-11,34.5,502,+6,藤沢 和雄,11
2,3,4,6,トーセンカンビーナ,牡6,55.0,石川 裕紀人,3:30.6,1/2,13-13-11-11,34.6,476,+2,加藤 征弘,5
3,4,3,3,ヴァルコス,牡5,54.0,三浦 皇成,3:30.6,クビ,8-7-9-8,34.7,518,+8,友道 康夫,6
4,5,5,7,ヴェローチェオロ,牡4,54.0,戸崎 圭太,3:30.7,3/4,5-5-6-6,35.1,484,+4,須貝 尚介,3
