,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
1,2,6,7,ドウデュース,牡3,56.0,武 豊,2:00.5,クビ,5-4-4-5,35.0,504,+8,友道 康夫,1
2,3,6,6,ボーンディスウェイ,牡3,56.0,石橋 脩,2:00.6,1/2,3-3-4-3,35.0,494,0,牧 光二,9
3,4,1,1,ジャスティンロック,牡3,56.0,川田 将雅,2:00.7,1/2,8-8-6-5,35.0,498,+10,吉岡 辰弥,4
4,5,7,9,インダストリア,牡3,56.0,戸崎 圭太,2:00.8,3/4,9-9-9-8,34.9,488,-6,宮田 敬介,2
5,6,3,3,リューベック,牡3,56.0,池添 謙一,2:01.1,1 1/2,1-1-1-1,35.8,494,+4,須貝 尚介,10
6,7,8,11,ロジハービン,牡3,56.0,M.デムーロ,2:01.1,アタマ,10-11-2-3,35.7,528,0,国枝 栄,6
7,8,4,4,アケルナルスター,牡3,56.0,菅原 明良,2:01.1,クビ,10-10-9-9,35.1,456,+2,清水 英克,11
8,9,2,2,メイショウゲキリン,牡3,56.0,横山 武史,2:01.1,ハナ,4-4-8-5,35.3,508,+2,池添 兼雄,8
9,10,5,5,マテンロウレオ,牡3,56.0,横山 典弘,2:01.4,1 1/2,5-6-9-9,35.4,478,+2,昆 貢,5
10,11,7,8,ラーグルフ,牡3,56.0,丸田 恭介,2:01.6,1,7-6-6-9,35.9,486,-10,宗像 義忠,7
0,1,7,12,ドゥーラ,牝2,54.0,斎藤 新,1:50.0,,6-5-5-4,35.7,466,+2,高橋 康之,1
1,2,8,13,ドゥアイズ,牝2,54.0,吉田 隼人,1:50.1,1,8-5-4-2,36.0,440,-8,庄野 靖志,6
2,3,1,1,ダイヤモンドハンズ,牡2,54.0,福永 祐一,1:50.4,1 1/2,13-13-13-11,35.7,512,+14,池江 泰寿,4
3,4,8,14,ジョウショーホープ,牡2,54.0,C.ルメール,1:50.7,2,11-11-12-11,36.1,454,-4,新谷 功一,8
4,5,4,6,ブラストウェーブ,牡2,54.0,川田 将雅,1:50.8,1/2,4-5-5-4,36.5,536,-2,大竹 正博,3
5,6,7,11,ビキニボーイ,牡2,54.0,浜中 俊,1:51.0,1 1/4,4-3-3-4,37.0,480,+2,梅田 智之,12
6,7,3,3,シャンドゥレール,牡2,54.0,M.デムーロ,1:51.1,3/4,14-14-8-8,36.6,504,+4,国枝 栄,2
7,8,2,2,ウェイビー,牝2,54.0,鮫島 克駿,1:51.1,アタマ,8-8-8-8,36.6,514,0,西村 真幸,7
8,9,4,5,レッドソリッド,牡2,54.0,横山 和生,1:51.2,クビ,2-2-2-1,37.4,502,+8,音無 秀孝,11
9,10,5,8,アンテロース,牡2,54.0,武 豊,1:51.6,2 1/2,8-8-7-7,37.2,436,-4,岡田 稲男,9
10,11,5,7,トーセンウォルト,牡2,54.0,横山 武史,1:51.6,クビ,6-8-13-13,36.9,458,+4,小桧山 悟,13
11,11,6,10,アスクメークシェア,牡2,54.0,藤岡 佑介,1:51.6,同着,11-11-8-8,37.1,480,-4,藤原 英昭,10
12,13,6,9,フェアエールング,牝2,54.0,丹内 祐次,1:52.0,2,1-1-1-2,38.3,432,+4,和田 正一郎,5
13,14,3,4,アースビート,牝2,54.0,菱田 裕二,1:54.5,大差,2-3-8-14,40.0,442,0,伊藤 圭三,14
0,1,2,4,ソダシ,牝3,55.0,吉田 隼人,1:31.1,,3-3,33.8,472,0,須貝 尚介,2
1,2,8,18,サトノレイナス,牝3,55.0,C.ルメール,1:31.1,クビ,15-16,32.9,474,0,国枝 栄,1
2,3,1,2,ファインルージュ,牝3,55.0,福永 祐一,1:31.2,1/2,8-6,33.7,488,-4,木村 哲也,8
3,4,3,5,アカイトリノムスメ,牝3,55.0,横山 武史,1:31.3,クビ,3-6,33.9,444,-6,国枝 栄,4
4,5,5,10,アールドヴィーヴル,牝3,55.0,M.デムーロ,1:31.8,3,8-9,34.1,422,-6,今野 貞一,5
5,6,4,7,ククナ,牝3,55.0,藤岡 佑介,1:31.8,クビ,18-18,33.2,446,-6,栗田 徹,9
6,7,3,6,ストゥーティ,牝3,55.0,岩田 康誠,1:31.9,クビ,1-2,34.9,422,0,奥村 豊,14
7,8,5,9,エンスージアズム,牝3,55.0,岩田 望来,1:32.0,1/2,11-9,34.3,418,+2,安田 翔伍,15
8,9,8,17,ホウオウイクセル,牝3,55.0,丸田 恭介,1:32.5,3,15-16,34.2,412,-2,高柳 瑞樹,16
9,10,7,14,ミニーアイル,牝3,55.0,藤岡 康太,1:32.5,ハナ,13-11,34.6,468,-12,武 幸四郎,17
10,11,6,11,ジネストラ,牝3,55.0,北村 宏司,1:32.6,1/2,2-3,35.4,442,+2,鹿戸 雄一,12
11,12,1,1,ストライプ,牝3,55.0,田辺 裕信,1:32.6,ハナ,15-14,34.6,502,-12,尾形 和幸,13
12,13,7,13,エリザベスタワー,牝3,55.0,川田 将雅,1:32.6,ハナ,8-11,34.7,508,+2,高野 友和,6
13,14,2,3,ブルーバード,牝3,55.0,柴田 大知,1:32.9,2,13-11,35.0,428,-2,高橋 祥泰,18
14,15,8,16,ソングライン,牝3,55.0,池添 謙一,1:33.1,1,11-14,35.0,478,-2,林 徹,7
15,16,7,15,シゲルピンクルビー,牝3,55.0,和田 竜二,1:33.5,2 1/2,3-6,36.0,462,-2,渡辺 薫彦,10
16,17,6,12,ヨカヨカ,牝3,55.0,幸 英明,1:34.0,3,3-3,36.7,456,-2,谷 潔,11
17,18,4,8,メイケイエール,牝3,55.0,横山 典弘,1:34.0,アタマ,3-1,37.2,458,-4,武 英智,3
0,1,3,5,ソダシ,牝4,55.0,吉田 隼人,1:32.2,,4-4,33.4,476,0,須貝 尚介,4
1,2,6,11,ファインルージュ,牝4,55.0,C.ルメール,1:32.5,2,6-6,33.4,500,-10,木村 哲也,3
2,3,4,7,レシステンシア,牝5,55.0,横山 武史,1:32.5,クビ,2-2,34.1,510,-6,松下 武士,6
3,4,5,10,,牝6,55.0,田中 勝春,1:32.5,ハナ,1-1,34.5,468,-6,西園 正都,18
4,5,1,2,ソングライン,牝4,55.0,池添 謙一,1:32.5,ハナ,9-8,33.2,486,前計不,林 徹,2
5,6,1,1,デアリングタクト,牝5,55.0,松山 弘平,1:32.7,1 1/4,6-6,33.6,486,+22,杉山 晴紀,5
6,7,5,9,アブレイズ,牝5,55.0,菅原 明良,1:32.8,クビ,15-15,32.9,490,-4,池江 泰寿,17
7,8,7,14,アカイイト,牝5,55.0,幸 英明,1:32.8,アタマ,14-14,33.1,512,-2,中竹 和也,12
8,9,8,17,シャドウディーヴァ,牝6,55.0,坂井 瑠星,1:32.8,クビ,15-15,32.9,482,+2,斎藤 誠,16
9,10,6,12,ミスニューヨーク,牝5,55.0,M.デムーロ,1:32.9,アタマ,11-11,33.4,468,+6,杉山 晴紀,14
10,11,3,6,ディヴィーナ,牝4,55.0,武 豊,1:32.9,アタマ,8-8,33.6,420,0,友道 康夫,13
11,12,7,13,レイパパレ,牝5,55.0,川田 将雅,1:32.9,ハナ,3-3,34.3,440,+6,高野 友和,1
12,13,8,18,テルツェット,牝5,55.0,D.レーン,1:33.0,1/2,18-18,32.9,432,0,和田 正一郎,8
13,14,7,15,アンドヴァラナウト,牝4,55.0,福永 祐一,1:33.1,1/2,9-8,33.8,434,-10,池添 学,7
14,15,8,16,デゼル,牝5,55.0,藤岡 康太,1:33.2,1/2,12-12,33.6,482,-2,友道 康夫,9
15,16,4,8,クリノプレミアム,牝5,55.0,松岡 正海,1:33.2,クビ,5-5,34.3,486,0,伊藤 伸一,15
16,17,2,4,マジックキャッスル,牝5,55.0,戸崎 圭太,1:33.5,2,12-12,33.9,442,0,国枝 栄,11
17,18,2,3,,牝5,55.0,鮫島 克駿,1:33.7,1,15-15,33.9,458,+2,池添 兼雄,10
0,1,5,9,アリストテレス,牡4,55.0,C.ルメール,2:17.9,,6-6-6-4,37.4,478,+4,音無 秀孝,1
1,2,2,4,ヴェルトライゼンデ,牡4,55.0,池添 謙一,2:18.0,1/2,9-9-7-7,37.3,494,+6,池江 泰寿,3
2,3,4,8,ラストドラフト,牡5,56.0,三浦 皇成,2:18.0,クビ,9-11-9-8,37.0,462,0,戸田 博文,6
3,4,6,12,ステイフーリッシュ,牡6,56.0,石橋 脩,2:18.3,1 1/2,5-4-3-4,38.1,464,-2,矢作 芳人,4
4,5,5,10,モズベッロ,牡5,56.0,北村 宏司,2:18.3,ハナ,15-14-12-10,37.1,476,+6,森田 直行,7
5,6,8,15,ウインマリリン,牝4,53.0,横山 武史,2:18.3,アタマ,2-2-3-4,38.0,464,+4,手塚 貴久,5
6,7,8,17,ジャコマル,牡7,56.0,田中 勝春,2:18.6,1 3/4,3-3-2-1,38.5,472,+6,松永 幹夫,12
7,8,6,11,ナイママ,牡5,56.0,柴田 大知,2:18.8,1 1/4,6-7-3-2,38.6,482,+8,武藤 善則,14
8,9,4,7,タガノディアマンテ,牡5,56.0,津村 明秀,2:18.9,クビ,14-14-16-13,37.3,476,+2,鮫島 一歩,8
9,10,1,2,サンアップルトン,牡5,56.0,柴田 善臣,2:19.3,2 1/2,17-16-17-15,37.6,486,+12,中野 栄治,9
10,11,1,1,サトノフラッグ,牡4,56.0,戸崎 圭太,2:19.5,3/4,16-16-12-8,38.3,500,+10,国枝 栄,2
11,12,3,6,ベストアプローチ,せん7,56.0,江田 照男,2:19.8,2,13-13-14-13,38.4,496,+6,小島 茂之,11
12,13,2,3,ノーブルマーズ,牡8,56.0,高倉 稜,2:19.9,3/4,9-9-9-12,38.8,504,+6,宮本 博,13
13,14,7,13,マイネルハニー,牡8,56.0,宮崎 北斗,2:20.2,1 1/2,4-4-7-10,39.5,488,-4,栗田 徹,16
14,15,8,16,ジェネラーレウーノ,牡6,56.0,武藤 雅,2:20.3,クビ,1-1-1-2,40.3,526,+4,矢野 英一,10
15,16,3,5,ソッサスブレイ,牡7,56.0,木幡 巧也,2:20.5,1 1/2,12-12-14-15,39.1,470,+16,粕谷 昌央,17
16,17,7,14,ランフォザローゼス,牡5,56.0,杉原 誠人,2:21.1,3 1/2,6-7-9-17,40.1,520,+6,藤沢 和雄,15
0,1,4,7,,牡3,57.0,松山 弘平,1:08.2,,8-8,34.4,464,-2,深山 雅史,1
1,2,3,6,コムストックロード,牝3,54.0,和田 竜二,1:08.6,2 1/2,10-9,34.7,426,-4,中野 栄治,9
2,3,7,13,ブレスレスリー,牝3,54.0,M.デムーロ,1:08.6,ハナ,9-9,34.7,458,+8,藤岡 健一,4
3,4,6,12,ウインモナーク,牡3,56.0,松岡 正海,1:08.6,クビ,3-2,35.1,480,-4,奥平 雅士,6
4,5,5,9,カイカノキセキ,牝3,54.0,鮫島 克駿,1:08.7,クビ,11-11,34.7,478,+10,池添 学,3
5,6,3,5,シゲルファンノユメ,牡3,56.0,藤岡 佑介,1:08.8,3/4,15-16,34.1,484,+4,伊藤 圭三,5
6,7,5,10,ケイアイオメガ,牡3,56.0,藤懸 貴志,1:08.8,クビ,13-13,34.5,460,-4,梅田 智之,11
7,8,2,3,カジュフェイス,牡3,56.0,秋山 真一郎,1:08.9,1/2,5-5,35.2,474,-4,森田 直行,15
8,9,7,14,ニシノレバンテ,牡3,56.0,松田 大作,1:09.0,1/2,11-12,34.8,492,+8,栗田 徹,16
9,10,2,4,トップキャスト,牝3,54.0,坂井 瑠星,1:09.0,ハナ,1-1,35.8,436,+10,高橋 康之,10
10,11,1,2,テイエムスパーダ,牝3,54.0,国分 恭介,1:09.0,クビ,5-5,35.3,480,-14,五十嵐 忠男,7
11,12,4,8,ヴィアドロローサ,牡3,56.0,横山 和生,1:09.2,3/4,15-17,34.4,450,0,安田 隆行,13
12,13,8,16,コラリン,牝3,54.0,池添 謙一,1:09.4,1,14-14,34.9,450,+6,木村 哲也,2
13,14,8,15,ジャスパークローネ,牡3,56.0,武 豊,1:09.5,1,3-4,35.9,484,0,森 秀行,8
14,15,6,11,タヤスゴールド,牡3,56.0,江田 照男,1:09.6,1/2,15-14,35.2,502,+4,岩戸 孝樹,14
15,16,1,1,ウラカワノキセキ,牝3,54.0,藤岡 康太,1:10.0,2 1/2,2-2,36.5,456,+4,田島 俊明,12
16,17,8,17,ゼットレヨン,牡3,56.0,酒井 学,1:10.6,3 1/2,5-5,36.9,468,-4,吉田 直弘,17
0,1,8,18,マジックキャッスル,牝4,54.0,戸崎 圭太,1:58.7,,11-11-10-8,35.4,444,+12,国枝 栄,2
1,2,7,14,ランブリングアレー,牝5,54.0,福永 祐一,1:58.7,クビ,8-9-9-8,35.4,480,+10,友道 康夫,6
2,3,2,4,ウラヌスチャーム,牝6,54.0,岩田 康誠,1:59.2,3,17-17-17-18,35.2,504,+6,斎藤 誠,8
3,4,7,13,アブレイズ,牝4,53.0,藤井 勘一郎,1:59.2,ハナ,14-14-15-15,35.5,484,-10,池江 泰寿,14
4,5,4,7,サトノガーネット,牝6,55.0,坂井 瑠星,1:59.5,2,18-17-17-16,35.7,444,+2,矢作 芳人,10
5,6,6,11,デンコウアンジュ,牝8,56.0,柴田 善臣,1:59.5,ハナ,16-15-12-11,36.0,478,+6,荒川 義之,11
6,7,5,10,サトノダムゼル,牝5,53.0,川田 将雅,1:59.6,1/2,4-4-4-4,36.7,462,-8,堀 宣行,3
7,8,5,9,カセドラルベル,牝5,53.0,松山 弘平,1:59.6,アタマ,10-10-10-11,36.1,552,-12,西村 真幸,7
8,9,7,15,シゲルピンクダイヤ,牝5,54.0,和田 竜二,2:00.0,2 1/2,5-5-5-5,37.0,480,+2,渡辺 薫彦,4
9,10,2,3,ディアンドル,牝5,54.0,池添 謙一,2:00.0,クビ,1-1-1-1,37.7,504,+12,奥村 豊,18
10,11,3,5,センテリュオ,牝6,56.0,C.ルメール,2:00.1,クビ,14-15-15-16,36.3,486,+10,高野 友和,1
11,12,6,12,レッドアステル,牝5,53.0,武 豊,2:00.2,1/2,13-13-12-11,36.7,444,-6,国枝 栄,5
12,13,1,1,ドナウデルタ,牝5,54.0,岩田 望来,2:00.2,クビ,12-12-12-11,36.7,446,-2,石坂 正,12
13,14,1,2,,牝4,53.0,松若 風馬,2:00.4,1,6-6-5-8,37.2,472,-8,五十嵐 忠男,9
14,15,8,16,リンディーホップ,牝6,52.0,武藤 雅,2:00.4,ハナ,8-6-5-5,37.3,468,+2,金成 貴史,16
15,16,4,8,サマーセント,牝5,52.0,幸 英明,2:01.1,4,6-6-5-5,38.0,470,+10,斉藤 崇史,13
16,17,8,17,ナルハヤ,牝7,52.0,藤田 菜七子,2:02.4,8,2-2-2-2,39.9,516,+6,梅田 智之,15
17,18,3,6,タガノアスワド,牝7,52.0,北村 友一,2:02.4,アタマ,3-2-3-2,39.9,518,0,五十嵐 忠男,17
0,1,6,7,ラヴアンドポップ,牡8,60.0,五十嵐 雄祐,3:28.8,,2-2-2-3,13.4,498,+10,岩戸 孝樹,6
1,2,5,5,ホッコーメヴィウス,せん5,60.0,黒岩 悠,3:28.9,3/4,1-1-1-1,13.4,470,+6,清水 久詞,3
2,3,4,4,オジュウチョウサン,牡10,62.0,石神 深一,3:29.1,1 1/4,6-5-2-2,13.4,510,0,和田 正一郎,1
3,4,2,2,クラウンディバイダ,せん8,60.0,伴 啓太,3:31.2,大差,7-7-6-6,13.6,468,0,天間 昭一,8
4,5,6,8,アサクサゲンキ,せん6,60.0,熊沢 重文,3:31.3,1/2,4-6-2-3,13.6,474,+2,音無 秀孝,2
5,6,1,1,ハルキストン,牡6,60.0,中村 将之,3:32.0,4,8-8-8-8,13.6,470,+4,浅見 秀一,10
6,7,8,12,マイティウェイ,牡5,60.0,上野 翔,3:32.3,1 3/4,4-3-2-5,13.7,486,0,粕谷 昌央,9
7,8,8,11,ヒロシゲセブン,牡6,60.0,白浜 雄造,3:33.6,8,9-9-9-9,13.7,514,-14,北出 成人,4
8,9,5,6,アースドラゴン,牡5,60.0,大江原 圭,3:33.7,1,12-12-11-10,13.7,486,-8,根本 康広,12
9,10,7,10,シンキングダンサー,せん8,60.0,平沢 健治,3:33.8,クビ,10-10-11-12,13.7,470,+14,武市 康男,7
10,11,7,9,コウユーヌレエフ,牡7,60.0,森 一馬,3:33.8,クビ,3-3-7-7,13.7,514,+6,斉藤 崇史,5
11,12,3,3,キタノテイオウ,牡6,60.0,草野 太郎,3:34.7,5,11-11-10-11,13.8,458,-6,和田 雄二,11
0,1,6,11,オーヴェルニュ,牡5,56.0,川田 将雅,1:49.2,,3-3-2-2,37.8,476,+4,西村 真幸,2
1,2,7,12,アナザートゥルース,せん7,57.0,松山 弘平,1:49.5,1 3/4,5-6-6-6,37.6,484,-2,高木 登,7
2,3,8,15,メモリーコウ,牝6,54.0,古川 吉洋,1:49.5,ハナ,10-9-9-8,37.2,472,+5,松永 幹夫,12
3,4,7,13,デュードヴァン,牡4,55.0,幸 英明,1:49.6,クビ,14-13-13-12,36.7,478,-4,加藤 征弘,8
4,5,1,1,,牡6,56.0,福永 祐一,1:49.8,1 1/4,7-7-7-7,37.8,484,0,藤原 英昭,5
5,6,6,10,ハヤヤッコ,牡5,56.0,田辺 裕信,1:49.9,3/4,15-14-14-12,36.9,488,+14,国枝 栄,3
6,7,4,7,ケイアイパープル,牡5,56.0,中井 裕二,1:50.3,2 1/2,3-3-2-1,38.9,520,+18,村山 明,13
7,8,3,4,タイキフェルヴール,牡6,56.0,内田 博幸,1:50.7,2 1/2,7-7-7-8,38.7,528,0,牧浦 充徳,4
8,9,5,9,,牡5,56.0,岩田 康誠,1:51.0,2,5-5-4-4,39.2,512,-2,安田 隆行,6
9,10,2,3,コマビショウ,牡6,56.0,松若 風馬,1:51.2,1 1/4,12-11-10-10,38.7,498,-4,南井 克巳,14
10,11,3,5,テーオーフォース,牡6,56.0,国分 恭介,1:51.4,3/4,11-10-12-12,38.7,484,+6,岡田 稲男,15
11,12,4,6,インティ,牡7,57.0,武 豊,1:52.2,5,1-1-1-2,40.8,524,+6,野中 賢二,1
12,13,5,8,ムイトオブリガード,牡7,56.0,北村 友一,1:53.0,5,12-11-10-10,40.5,510,+4,角田 晃一,9
13,14,2,2,ダイシンインディー,牡5,56.0,岩田 望来,1:53.3,1 3/4,2-2-4-5,41.5,546,+3,戸田 博文,11
14,15,8,14,ロードアクシス,牡6,56.0,和田 竜二,1:54.8,9,7-15-15-15,39.2,472,+2,奥村 豊,10
0,1,7,9,アーモンドアイ,牝5,56.0,C.ルメール,1:57.8,,3-3-4,33.1,490,+2,国枝 栄,1
1,2,5,6,フィエールマン,牡5,58.0,福永 祐一,1:57.9,1/2,10-9-10,32.7,478,-12,手塚 貴久,5
2,3,6,7,クロノジェネシス,牝4,56.0,北村 友一,1:57.9,クビ,8-9-9,32.8,464,0,斉藤 崇史,2
3,4,8,11,,牡5,58.0,川田 将雅,1:58.2,2,1-1-1,34.0,496,-10,中内田 充正,6
4,5,6,8,キセキ,牡6,58.0,武 豊,1:58.6,2 1/2,3-3-2,34.1,508,+6,角居 勝彦,4
5,6,3,3,,せん6,58.0,内田 博幸,1:59.0,2 1/2,2-2-2,34.5,496,-2,菊沢 隆徳,10
6,7,8,12,ジナンボー,牡5,58.0,M.デムーロ,1:59.1,クビ,7-6-4,34.4,492,+6,堀 宣行,9
7,8,2,2,カデナ,牡6,58.0,田辺 裕信,1:59.2,1/2,12-11-11,33.9,478,+2,中竹 和也,11
8,9,7,10,スカーレットカラー,牝5,56.0,岩田 康誠,1:59.2,アタマ,11-11-12,33.7,488,+14,高橋 亮,8
9,10,5,5,ウインブライト,牡6,58.0,松岡 正海,1:59.4,1 1/4,5-6-6,34.5,484,0,畠山 吉宏,12
10,11,1,1,ブラストワンピース,牡5,58.0,池添 謙一,1:59.5,3/4,8-5-6,34.6,550,+8,大竹 正博,7
11,12,4,4,ダノンキングリー,牡4,58.0,戸崎 圭太,2:00.7,7,5-6-6,35.8,450,-6,萩原 清,3
0,1,3,6,リスグラシュー,牝5,55.0,D.レーン,2:30.5,,10-10-11-9,34.7,468,前計不,矢作 芳人,2
1,2,5,10,サートゥルナーリア,牡3,55.0,C.スミヨン,2:31.3,5,13-13-11-7,35.4,504,+2,角居 勝彦,3
2,3,4,7,ワールドプレミア,牡3,55.0,武 豊,2:31.4,クビ,15-16-16-16,35.0,492,+8,友道 康夫,4
3,4,3,5,フィエールマン,牡4,57.0,池添 謙一,2:31.6,1 1/2,10-10-9-4,36.0,482,前計不,手塚 貴久,6
4,5,6,11,キセキ,牡5,57.0,R.ムーア,2:31.6,クビ,12-12-11-9,35.8,506,前計不,角居 勝彦,7
5,6,8,16,シュヴァルグラン,牡7,57.0,福永 祐一,2:31.9,1 3/4,14-14-14-13,35.8,470,+6,友道 康夫,14
6,7,4,8,,牡5,57.0,三浦 皇成,2:32.1,1 1/4,15-14-14-13,36.0,494,+8,藤沢 和雄,9
7,8,7,14,ヴェロックス,牡3,55.0,川田 将雅,2:32.3,1,8-8-9-9,36.7,494,+4,中内田 充正,8
8,9,5,9,アーモンドアイ,牝4,55.0,C.ルメール,2:32.3,ハナ,8-8-7-4,36.9,486,+6,国枝 栄,1
9,10,2,3,,牡4,57.0,横山 典弘,2:32.4,クビ,5-5-5-4,37.2,462,0,友道 康夫,10
10,11,7,13,アルアイン,牡5,57.0,松山 弘平,2:32.8,2 1/2,4-4-3-3,38.0,526,0,池江 泰寿,15
11,12,1,2,スワーヴリチャード,牡5,57.0,O.マーフィー,2:33.6,5,6-6-6-7,38.3,526,+10,庄野 靖志,5
12,13,2,4,スティッフェリオ,牡5,57.0,丸山 元気,2:34.0,2 1/2,2-2-2-2,39.9,456,+8,音無 秀孝,13
13,14,8,15,アエロリット,牝5,55.0,津村 明秀,2:35.0,6,1-1-1-1,42.1,514,-2,菊沢 隆徳,12
14,15,1,1,スカーレットカラー,牝4,55.0,岩田 康誠,2:35.3,1 3/4,7-6-7-13,39.8,474,-12,高橋 亮,11
15,16,6,12,クロコスミア,牝6,55.0,藤岡 佑介,2:35.3,クビ,2-3-3-12,40.6,444,-4,西浦 勝一,16
0,1,4,6,ナミュール,牝3,54.0,横山 武史,1:33.2,,7-8,33.9,430,0,高野 友和,1
1,2,1,1,ピンハイ,牝3,54.0,高倉 稜,1:33.4,1 1/2,10-8,34.1,414,-6,田中 克典,13
2,3,2,3,サークルオブライフ,牝3,54.0,M.デムーロ,1:33.4,クビ,4-4,34.5,476,-2,国枝 栄,2
3,4,5,8,サウンドビバーチェ,牝3,54.0,石橋 脩,1:33.5,クビ,2-2,34.9,474,0,高柳 大輔,8
4,5,5,9,ウォーターナビレラ,牝3,54.0,武 豊,1:33.6,3/4,4-5,34.5,478,+8,武 幸四郎,3
5,6,6,11,ルージュスティリア,牝3,54.0,岩田 望来,1:33.8,1 1/2,13-14,33.9,474,+8,藤原 英昭,5
6,7,6,10,ラリュエル,牝3,54.0,川田 将雅,1:34.0,3/4,4-5,35.0,424,-4,矢作 芳人,6
7,8,8,15,オーソレミオ,牝3,54.0,横山 和生,1:34.2,1 1/2,3-3,35.4,436,-4,昆 貢,10
8,9,4,7,ルピナスリード,牝3,54.0,池添 謙一,1:34.4,3/4,7-7,35.2,450,0,吉岡 辰弥,11
9,10,7,13,ツッチーフェイス,牝3,54.0,小沢 大仁,1:34.4,ハナ,10-12,34.7,462,0,今野 貞一,15
10,11,8,14,ステルナティーア,牝3,54.0,福永 祐一,1:34.4,クビ,12-11,34.9,440,+8,木村 哲也,4
11,12,7,12,シークルーズ,牝3,54.0,三浦 皇成,1:34.4,ハナ,7-8,35.1,428,+6,杉山 晴紀,12
12,13,2,2,ジャマン,牝3,54.0,松山 弘平,1:35.3,5,1-1,36.8,466,-4,高橋 康之,7
13,14,3,5,スプリットザシー,牝3,54.0,団野 大成,1:36.0,4,13-12,36.4,382,-6,西村 真幸,14
14,中止,3,4,アンジェリーナ,牝3,54.0,横山 典弘,,,13-14,,422,+2,昆 貢,9
0,1,3,6,ロータスランド,牝4,54.0,田辺 裕信,1:32.7,,2-2,34.1,462,-8,辻野 泰之,4
1,2,7,13,カラテ,牡5,56.0,菅原 明良,1:32.9,1 1/4,7-7,34.0,520,-6,高橋 祥泰,6
2,3,6,11,ソングライン,牝3,51.0,池添 謙一,1:32.9,クビ,7-7,34.0,486,+6,林 徹,1
3,4,8,17,マイスタイル,牡7,57.0,横山 典弘,1:32.9,アタマ,1-1,34.8,470,+4,昆 貢,10
4,5,1,1,グランデマーレ,牡4,56.0,藤岡 佑介,1:33.0,1/2,11-11,33.8,508,-2,藤岡 健一,7
5,6,7,14,クリスティ,牝4,54.0,M.デムーロ,1:33.1,クビ,4-4,34.3,488,0,杉山 晴紀,5
6,7,2,3,シャドウディーヴァ,牝5,54.0,福永 祐一,1:33.2,3/4,7-7,34.2,480,+4,斎藤 誠,2
7,8,4,8,アンドラステ,牝5,55.0,岩田 望来,1:33.2,クビ,10-10,34.1,478,+4,中内田 充正,3
8,9,8,18,パクスアメリカーナ,牡6,56.0,内田 博幸,1:33.4,1,4-4,34.6,484,+22,中内田 充正,9
9,10,3,5,アトミックフォース,牡5,56.0,武藤 雅,1:33.4,ハナ,6-4,34.6,472,-8,武藤 善則,11
10,11,6,12,サトノアーサー,牡7,57.0,戸崎 圭太,1:33.4,アタマ,14-14,33.9,492,+10,池江 泰寿,8
11,12,5,10,ブランノワール,牝5,54.0,丸山 元気,1:33.4,クビ,11-13,34.0,462,-2,須貝 尚介,13
12,13,5,9,ソッサスブレイ,せん7,56.0,柴田 大知,1:33.5,クビ,14-14,33.9,448,0,粕谷 昌央,16
13,14,4,7,ハッピーアワー,牡5,56.0,丸田 恭介,1:33.5,ハナ,17-17,33.9,446,-6,杉山 佳明,17
14,15,2,4,ラセット,牡6,56.0,秋山 真一郎,1:33.6,1/2,14-14,34.2,490,-4,庄野 靖志,12
15,16,1,2,ベストアクター,せん7,56.0,柴田 善臣,1:33.9,2,11-11,34.7,450,-6,鹿戸 雄一,15
16,17,7,15,ミラアイトーン,牡7,56.0,津村 明秀,1:34.0,クビ,2-2,35.4,554,0,菊沢 隆徳,14
17,取消,8,16,プールヴィル,牝5,55.0,三浦 皇成,,,,, ,,庄野 靖志,
0,1,1,1,プルパレイ,牡3,56.0,M.デムーロ,1:20.9,,9-7,35.9,494,+2,須貝 尚介,2
1,2,2,3,タイセイディバイン,牡3,56.0,松若 風馬,1:21.2,1 3/4,9-9,36.1,514,+2,高野 友和,13
2,3,7,14,オタルエバー,牡3,56.0,幸 英明,1:21.3,1/2,11-11,36.0,470,+14,中竹 和也,6
3,4,3,6,デヴィルズマーブル,牡3,56.0,福永 祐一,1:21.3,クビ,12-11,36.1,480,-10,斉藤 崇史,5
4,5,4,8,トウシンマカオ,牡3,57.0,戸崎 圭太,1:21.5,1 1/4,5-5,36.7,452,+2,高柳 瑞樹,1
5,6,3,5,ショウナンハクラク,牡3,56.0,坂井 瑠星,1:21.5,アタマ,18-16,35.8,464,-8,松下 武士,4
6,7,2,4,カジュフェイス,牡3,56.0,田辺 裕信,1:21.7,1 1/4,1-1,37.3,478,-10,森田 直行,7
7,8,8,16,ティーガーデン,牡3,56.0,横山 武史,1:21.8,クビ,13-16,36.1,510,+6,萩原 清,3
8,9,5,9,エイシンシュトルム,牡3,56.0,石川 裕紀人,1:21.8,クビ,16-13,36.3,486,-6,勢司 和浩,17
9,10,7,13,レディバランタイン,牝3,54.0,C.ルメール,1:22.0,3/4,13-13,36.5,470,0,加藤 征弘,8
10,11,1,2,ヴィアドロローサ,牡3,56.0,吉田 隼人,1:22.2,1 1/2,5-3,37.5,450,+2,安田 隆行,11
11,12,6,12,ニシノレバンテ,牡3,56.0,内田 博幸,1:22.4,3/4,2-3,37.7,484,+2,栗田 徹,14
