,レースID,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬名ID,馬番,馬名,性齢,負担重量,騎手名,馬体重,馬体重(増減),調教師名,単勝人気
43,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,8,4,43.0,8,イルーシヴパンサー,4,58.0,田辺 裕信,476,0,久保田 貴士,1
44,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,9,8,44.0,18,ナランフレグ,6,58.0,丸田 恭介,490,4,宗像 義忠,12
45,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,10,2,45.0,3,ロータスランド,5,56.0,M.デムーロ,484,8,辻野 泰之,11
46,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,11,8,46.0,16,レシステンシア,5,56.0,横山 武史,512,2,松下 武士,9
47,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,12,3,47.0,5,ホウオウアマゾン,4,58.0,坂井 瑠星,512,4,矢作 芳人,15
48,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,13,7,,14,,4,58.0,浜中 俊,498,-2,池江 泰寿,6
49,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,14,6,48.0,12,ダイアトニック,7,58.0,岩田 康誠,478,4,安田 隆行,17
50,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,15,1,49.0,2,ヴァンドギャルド,6,58.0,岩田 望来,466,前計不,藤原 英昭,13
51,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,16,3,50.0,6,カラテ,6,58.0,菅原 明良,540,10,辻野 泰之,14
52,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,17,1,51.0,1,カフェファラオ,5,58.0,福永 祐一,524,-2,堀 宣行,10
53,2,2022-06-05,農林水産省賞典 安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,18,6,,11,,6,58.0,戸崎 圭太,484,-10,池添 学,18
54,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,1,3,52.0,5,インディチャンプ,4,57.0,池添 謙一,472,-4,音無 秀孝,3
55,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,2,7,53.0,14,ダノンプレミアム,4,57.0,川田 将雅,506,-2,中内田 充正,1
56,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,3,4,,7,,5,57.0,O.マーフィー,498,6,池江 泰寿,6
57,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,4,2,,3,,5,57.0,田中 勝春,468,4,昆 貢,10
58,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,5,1,54.0,1,ダノンキングリー,3,56.0,横山 典弘,452,-2,萩原 清,2
59,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,6,6,55.0,11,カテドラル,3,56.0,武 豊,490,10,池添 学,13
60,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,7,5,56.0,9,クリノガウディー,3,56.0,藤岡 佑介,488,4,藤沢 則雄,12
61,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,8,1,57.0,2,グァンチャーレ,7,57.0,松岡 正海,474,2,北出 成人,11
62,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,9,2,58.0,4,レッドオルガ,5,55.0,岩田 望来,452,-2,藤原 英昭,15
63,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,10,8,48.0,15,ダイアトニック,4,57.0,C.スミヨン,472,-4,安田 隆行,4
64,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,11,4,59.0,8,プリモシーン,4,55.0,W.ビュイック,496,-10,木村 哲也,9
65,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,12,7,60.0,13,タイムトリップ,5,57.0,幸 英明,504,6,菊川 正達,17
66,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,13,3,61.0,6,フィアーノロマーノ,5,57.0,藤岡 康太,552,8,高野 友和,14
67,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,14,6,62.0,12,モズアスコット,5,57.0,和田 竜二,498,0,矢作 芳人,7
68,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,15,8,,17,,4,57.0,C.ルメール,484,-2,藤沢 和雄,8
69,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,16,5,,10,,5,57.0,R.ムーア,526,10,池江 泰寿,5
70,3,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,17,8,63.0,16,エメラルファイト,3,56.0,石川 裕紀人,450,0,相沢 郁,16
71,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,1,6,64.0,11,チュウワウィザード,5,57.0,戸崎 圭太,486,3,大久保 龍志,4
72,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,2,1,65.0,2,ゴールドドリーム,7,57.0,和田 竜二,532,2,平田 修,3
73,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,3,7,66.0,13,インティ,6,57.0,武 豊,518,7,野中 賢二,10
74,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,4,8,67.0,15,クリソベリル,4,57.0,川田 将雅,554,12,音無 秀孝,1
75,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,5,6,62.0,12,モズアスコット,6,57.0,横山 武史,492,2,矢作 芳人,11
76,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,6,4,51.0,7,カフェファラオ,3,56.0,C.ルメール,504,-6,堀 宣行,2
77,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,7,3,68.0,6,エアスピネル,7,57.0,福永 祐一,492,-2,笹田 和秀,12
78,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,8,1,69.0,1,タイムフライヤー,5,57.0,藤岡 佑介,482,6,松田 国英,7
79,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,9,5,70.0,9,アルクトス,5,57.0,田辺 裕信,544,2,栗田 徹,9
80,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,10,2,71.0,4,エアアルマス,5,57.0,松山 弘平,494,-4,池添 学,8
81,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,11,3,72.0,5,クリンチャー,6,57.0,三浦 皇成,494,4,宮本 博,5
82,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,12,4,73.0,8,サンライズノヴァ,6,57.0,松若 風馬,534,4,音無 秀孝,6
83,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,13,5,74.0,10,アナザートゥルース,6,57.0,M.デムーロ,486,-7,高木 登,13
84,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,14,8,,16,,7,57.0,藤岡 康太,592,8,堀 宣行,16
85,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,15,2,75.0,3,メイショウワザシ,5,57.0,高倉 稜,542,6,南井 克巳,15
86,4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,16,7,76.0,14,ヨシオ,7,57.0,亀田 温心,490,4,森 秀行,14
87,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,1,4,77.0,6,アドマイヤマーズ,2,55.0,M.デムーロ,470,-2,友道 康夫,2
88,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,2,1,56.0,1,クリノガウディー,2,55.0,藤岡 佑介,492,2,藤沢 則雄,9
89,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,3,2,78.0,2,グランアレグリア,2,54.0,C.ルメール,482,6,藤沢 和雄,1
90,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,4,8,79.0,14,ファンタジスト,2,55.0,武 豊,474,0,梅田 智之,3
91,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,5,5,80.0,8,ディープダイバー,2,55.0,川田 将雅,452,0,大久保 龍志,11
92,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,6,8,63.0,15,エメラルファイト,2,55.0,W.ビュイック,448,4,相沢 郁,7
93,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,7,2,81.0,3,アスターペガサス,2,55.0,福永 祐一,498,-4,中竹 和也,8
94,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,8,6,82.0,10,ヒラソール,2,55.0,岩田 康誠,460,2,加用 正,14
95,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,9,5,83.0,9,イッツクール,2,55.0,松田 大作,470,0,武 英智,12
96,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,10,3,84.0,5,マイネルサーパス,2,55.0,丹内 祐次,478,2,高木 登,5
97,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,11,7,85.0,12,コパノマーティン,2,55.0,坂井 瑠星,474,-4,村山 明,15
98,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,12,3,86.0,4,ドゴール,2,55.0,津村 明秀,458,10,黒岩 陽一,6
99,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,13,6,87.0,11,ケイデンスコール,2,55.0,C.デムーロ,468,6,安田 隆行,4
100,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,14,4,88.0,7,ソルトイブキ,2,55.0,四位 洋文,476,2,木原 一良,13
101,5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,15,7,89.0,13,ニホンピロヘンソン,2,55.0,浜中 俊,472,4,安達 昭夫,10
102,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,1,8,90.0,16,タイトルホルダー,4,58.0,横山 和生,474,-2,栗田 徹,2
103,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,2,8,91.0,18,ディープボンド,5,58.0,和田 竜二,504,-6,大久保 龍志,1
104,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,3,4,92.0,7,テーオーロイヤル,4,58.0,菱田 裕二,460,4,岡田 稲男,4
105,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,4,5,93.0,9,ヒートオンビート,5,58.0,池添 謙一,478,-2,友道 康夫,5
106,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,5,1,94.0,1,アイアンバローズ,5,58.0,石橋 脩,496,-2,上村 洋行,3
107,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,6,6,95.0,11,マイネルファンロン,7,58.0,松岡 正海,478,-12,手塚 貴久,14
108,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,7,7,96.0,13,ロバートソンキー,5,58.0,伊藤 工真,470,-12,林 徹,10
109,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,8,7,97.0,14,ヴァルコス,5,58.0,三浦 皇成,518,0,友道 康夫,17
110,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,9,3,98.0,6,メロディーレーン,6,56.0,岩田 望来,352,6,森田 直行,16
111,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,10,5,25.0,10,トーセンカンビーナ,6,58.0,藤岡 康太,472,-2,加藤 征弘,18
112,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,11,3,99.0,5,マカオンドール,4,58.0,松山 弘平,488,-4,今野 貞一,6
113,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,12,2,100.0,3,ディバインフォース,6,58.0,田辺 裕信,462,-2,寺島 良,12
114,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,13,2,101.0,4,ユーキャンスマイル,7,58.0,藤岡 佑介,516,2,友道 康夫,13
115,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,14,4,102.0,8,クレッシェンドラヴ,8,58.0,内田 博幸,496,-10,林 徹,15
116,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,15,6,,12,,6,58.0,武 豊,476,-8,国枝 栄,11
117,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,16,1,103.0,2,ハーツイストワール,6,58.0,C.ルメール,480,-10,国枝 栄,7
118,6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,17,7,104.0,15,タガノディアマンテ,6,58.0,幸 英明,484,0,鮫島 一歩,9
119,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,1,8,105.0,12,リスグラシュー,5,56.0,D.レーン,460,2,矢作 芳人,3
