,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
5,2021-04-17,中山グランドジャンプ,障害4歳以上,オープン,国際,定量,4250メートル芝 外,6,5,5,マイネルプロンプト,せん9,63.0,北沢 伸也,4:53.0,2 1/2,6-6-4-3,13.8,474,0,坂口 智康,8
6,2021-04-17,中山グランドジャンプ,障害4歳以上,オープン,国際,定量,4250メートル芝 外,7,1,1,ヒロシゲセブン,牡6,63.0,高田 潤,4:55.7,大差,8-7-7-7,13.9,530,+4,北出 成人,6
7,2021-04-17,中山グランドジャンプ,障害4歳以上,オープン,国際,定量,4250メートル芝 外,8,8,8,シンキングダンサー,せん8,63.0,五十嵐 雄祐,5:05.2,大差,7-8-8-8,14.4,456,-6,武市 康男,7
0,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,1,4,8,ポタジェ,牡5,57.0,吉田 隼人,1:58.4,,5-5-5-4,35.3,468,+2,友道 康夫,8
1,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,2,7,14,レイパパレ,牝5,55.0,川田 将雅,1:58.5,クビ,3-3-3-3,35.6,434,+4,高野 友和,3
2,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,3,5,9,アリーヴォ,牡4,57.0,武 豊,1:58.5,ハナ,12-10-9-6,35.0,500,-2,杉山 晴紀,7
3,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,4,5,10,ヒシイグアス,牡6,57.0,池添 謙一,1:58.7,1,7-7-7-6,35.3,494,+9,堀 宣行,5
4,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,5,2,4,ジャックドール,牡4,57.0,藤岡 佑介,1:58.9,1 1/4,1-1-1-1,36.3,508,+2,藤岡 健一,2
5,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,6,1,1,スカーフェイス,牡6,57.0,岩田 康誠,1:58.9,クビ,14-14-13-10,35.0,466,+4,橋田 満,15
6,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,7,8,15,アフリカンゴールド,せん7,57.0,国分 恭介,1:59.0,1/2,2-2-2-2,36.2,468,0,西園 正都,11
7,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,8,6,11,ステラリア,牝4,55.0,福永 祐一,1:59.0,クビ,9-10-11-10,35.2,498,0,斉藤 崇史,10
8,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,9,3,6,エフフォーリア,牡4,57.0,横山 武史,1:59.1,1/2,9-8-8-10,35.5,522,+6,鹿戸 雄一,1
9,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,10,3,5,アカイイト,牝5,55.0,幸 英明,1:59.2,3/4,13-13-11-10,35.5,514,+2,中竹 和也,4
10,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,11,7,13,キングオブコージ,牡6,57.0,横山 典弘,1:59.3,クビ,15-14-15-14,35.3,506,+10,安田 翔伍,6
11,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,12,6,12,ショウナンバルディ,牡6,57.0,坂井 瑠星,1:59.3,ハナ,5-5-5-6,36.0,452,-2,松下 武士,16
12,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,13,1,2,,牡4,57.0,藤岡 康太,1:59.4,1,15-16-15-16,35.3,498,-4,友道 康夫,12
13,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,14,8,16,マカヒキ,牡9,57.0,岩田 望来,2:00.0,3 1/2,11-12-13-14,36.0,510,-2,友道 康夫,13
14,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,15,2,3,ヒュミドール,せん6,57.0,M.デムーロ,2:00.3,1 1/2,7-8-9-9,36.8,466,-6,小手川 準,14
15,2022-04-03,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,16,4,7,ウインマリリン,牝5,55.0,松岡 正海,2:00.7,2 1/2,3-3-3-4,37.8,462,-10,手塚 貴久,9
0,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,1,2,3,コントレイル,牡3,57.0,福永 祐一,3:05.5,,7-7-5-4,35.2,458,-2,矢作 芳人,1
1,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,2,5,9,アリストテレス,牡3,57.0,C.ルメール,3:05.5,クビ,7-7-7-4,35.1,474,+8,音無 秀孝,4
2,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,3,5,10,サトノフラッグ,牡3,57.0,戸崎 圭太,3:06.1,3 1/2,14-15-15-14,35.2,490,+4,国枝 栄,5
3,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,4,4,8,ディープボンド,牡3,57.0,和田 竜二,3:06.2,クビ,5-5-3-2,36.1,484,-6,大久保 龍志,7
4,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,5,7,15,ブラックホール,牡3,57.0,藤岡 佑介,3:06.2,クビ,12-12-13-11,35.4,436,-8,相沢 郁,14
5,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,6,7,13,ロバートソンキー,牡3,57.0,伊藤 工真,3:06.6,2,14-14-15-14,35.6,470,-4,林 徹,9
6,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,7,3,6,ヴェルトライゼンデ,牡3,57.0,池添 謙一,3:06.9,2,10-10-10-8,36.3,488,0,池江 泰寿,2
7,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,8,7,14,ヴァルコス,牡3,57.0,岩田 康誠,3:07.1,1 1/4,9-9-10-8,36.5,502,+6,友道 康夫,6
8,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,9,1,2,ガロアクリーク,牡3,57.0,川田 将雅,3:07.5,2 1/2,4-4-3-2,37.4,498,-4,上原 博之,10
9,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,10,6,11,バビット,牡3,57.0,内田 博幸,3:07.6,クビ,2-2-2-1,37.7,450,-12,浜田 多実雄,3
10,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,11,2,4,マンオブスピリット,牡3,57.0,M.デムーロ,3:07.6,クビ,16-16-10-11,36.9,488,+2,斉藤 崇史,13
11,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,12,3,5,サトノインプレッサ,牡3,57.0,坂井 瑠星,3:07.8,1,10-10-9-8,37.2,484,0,矢作 芳人,11
12,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,13,1,1,ディアマンミノル,牡3,57.0,幸 英明,3:07.9,1/2,12-12-13-11,37.1,458,-6,本田 優,12
13,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,14,8,16,ターキッシュパレス,牡3,57.0,富田 暁,3:07.9,クビ,17-17-18-18,36.6,472,+4,昆 貢,16
14,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,15,4,7,ダノングロワール,牡3,57.0,北村 友一,3:08.5,3 1/2,5-5-5-7,38.1,488,+4,国枝 栄,8
15,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,16,6,12,レクセランス,牡3,57.0,松山 弘平,3:09.2,4,3-3-7-14,38.4,480,-4,池添 学,15
16,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,17,8,18,ビターエンダー,牡3,57.0,津村 明秀,3:09.4,1 1/4,18-18-15-14,38.3,476,+2,相沢 郁,17
17,2020-10-25,菊花賞,3歳,オープン,国際牡牝指定,馬齢,3000メートル芝右 外,18,8,17,,牡3,57.0,松若 風馬,3:11.7,大差,1-1-1-4,41.8,540,0,中竹 和也,18
0,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,1,8,18,ラッキーライラック,牝5,56.0,C.ルメール,2:10.3,,12-12-11-3,33.9,522,-2,松永 幹夫,1
1,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,2,7,13,サラキア,牝5,56.0,北村 友一,2:10.4,クビ,14-14-15-12,33.7,450,-4,池添 学,5
2,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,3,6,11,ラヴズオンリーユー,牝4,56.0,M.デムーロ,2:10.4,クビ,11-11-13-8,33.8,486,0,矢作 芳人,3
3,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,4,6,12,ウインマリリン,牝3,54.0,横山 武史,2:10.7,1 3/4,3-3-3-6,34.4,460,-4,手塚 貴久,9
4,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,5,4,8,センテリュオ,牝5,56.0,戸崎 圭太,2:10.8,3/4,16-16-16-14,33.9,476,+4,高野 友和,4
5,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,6,2,4,ソフトフルート,牝3,54.0,福永 祐一,2:10.9,クビ,5-5-6-8,34.5,472,+2,松田 国英,6
6,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,7,3,5,リアアメリア,牝3,54.0,川田 将雅,2:10.9,クビ,2-2-2-2,34.9,482,-2,中内田 充正,7
7,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,8,1,1,シャドウディーヴァ,牝4,56.0,内田 博幸,2:11.0,1/2,7-7-9-14,34.3,478,-4,斎藤 誠,14
8,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,9,1,2,サムシングジャスト,牝4,56.0,松山 弘平,2:11.2,3/4,4-4-6-8,34.7,516,+2,松田 国英,15
9,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,10,8,16,ミスニューヨーク,牝3,54.0,加藤 祥太,2:11.2,ハナ,9-10-9-8,34.8,462,0,杉山 晴紀,13
10,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,11,7,14,サトノガーネット,牝5,56.0,坂井 瑠星,2:11.2,ハナ,17-17-16-14,34.3,444,+4,矢作 芳人,10
11,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,12,2,3,リュヌルージュ,牝5,56.0,団野 大成,2:11.3,1/2,9-9-11-12,34.7,478,-2,斉藤 崇史,16
12,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,13,7,15,ウラヌスチャーム,牝5,56.0,斎藤 新,2:11.3,ハナ,14-14-6-3,35.1,498,-6,斎藤 誠,11
13,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,14,5,9,ウインマイティー,牝3,54.0,和田 竜二,2:11.4,1/2,7-7-5-6,35.1,480,0,五十嵐 忠男,12
14,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,15,4,7,,牝5,56.0,幸 英明,2:11.4,クビ,12-12-13-14,34.6,458,-8,尾関 知人,17
15,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,16,3,6,ノームコア,牝5,56.0,横山 典弘,2:11.6,1,1-1-1-1,36.1,466,-2,萩原 清,2
16,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,17,8,17,エスポワール,牝4,56.0,武 豊,2:11.6,クビ,5-5-3-3,35.4,486,+6,角居 勝彦,8
17,2020-11-15,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,18,5,10,カーロバンビーナ,牝5,56.0,浜中 俊,2:12.5,5,18-17-18-18,35.2,402,-6,戸田 博文,18
0,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,1,7,13,デアリングタクト,牝3,55.0,松山 弘平,2:00.6,,13-13-8-5,35.8,480,+14,杉山 晴紀,1
1,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,2,6,12,マジックキャッスル,牝3,55.0,大野 拓弥,2:00.8,1 1/4,11-11-11-13,35.8,432,+10,国枝 栄,10
2,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,3,4,8,ソフトフルート,牝3,55.0,藤岡 康太,2:00.9,3/4,18-18-18-12,35.7,470,0,松田 国英,9
3,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,4,8,16,パラスアテナ,牝3,55.0,坂井 瑠星,2:00.9,ハナ,15-15-15-5,35.8,444,-8,高柳 瑞樹,12
4,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,5,7,15,ミスニューヨーク,牝3,55.0,長岡 禎仁,2:01.5,3 1/2,7-8-8-15,36.7,462,+2,杉山 晴紀,16
5,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,6,7,14,オーマイダーリン,牝3,55.0,幸 英明,2:01.5,ハナ,17-17-11-5,36.6,472,+6,河内 洋,14
6,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,7,2,3,マルターズディオサ,牝3,55.0,田辺 裕信,2:01.6,クビ,1-1-1-1,37.4,446,0,手塚 貴久,4
7,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,8,4,7,ムジカ,牝3,55.0,秋山 真一郎,2:01.7,1/2,14-13-15-15,36.7,444,+4,鈴木 孝志,11
8,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,9,3,5,ウインマイティー,牝3,55.0,和田 竜二,2:01.9,1 1/2,11-11-11-5,37.1,480,+10,五十嵐 忠男,3
9,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,10,6,11,フィオリキアリ,牝3,55.0,北村 友一,2:02.1,1 1/4,6-6-5-5,37.5,442,+2,清水 久詞,15
10,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,11,8,18,アブレイズ,牝3,55.0,藤井 勘一郎,2:02.2,1/2,9-9-11-17,37.2,494,-2,池江 泰寿,17
11,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,12,3,6,ダンツエリーゼ,牝3,55.0,太宰 啓介,2:02.2,クビ,15-15-17-17,37.0,526,+6,本田 優,18
12,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,13,1,2,リアアメリア,牝3,55.0,川田 将雅,2:02.4,1 1/4,5-5-5-3,37.8,484,-4,中内田 充正,2
13,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,14,1,1,ミヤマザクラ,牝3,55.0,福永 祐一,2:02.9,3,3-4-4-3,38.4,488,+20,藤原 英昭,6
14,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,15,8,17,ウインマリリン,牝3,55.0,横山 武史,2:03.1,1 1/2,3-2-2-2,38.7,464,+12,手塚 貴久,5
15,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,16,5,9,サンクテュエール,牝3,55.0,C.ルメール,2:03.2,クビ,7-6-5-13,38.6,456,-2,藤沢 和雄,8
16,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,17,5,10,クラヴァシュドール,牝3,55.0,M.デムーロ,2:03.8,3 1/2,9-9-8-5,39.0,460,+2,中内田 充正,7
17,2020-10-18,秋華賞,3歳,オープン,国際牝指定,馬齢,2000メートル芝右,18,2,4,ホウオウピースフル,牝3,55.0,池添 謙一,2:04.8,6,2-2-2-5,40.4,484,-4,大竹 正博,13
0,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,1,7,14,ダノンスマッシュ,牡6,57.0,川田 将雅,1:09.2,,10-9,34.3,472,+3,安田 隆行,2
1,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,2,8,16,レシステンシア,牝4,55.0,浜中 俊,1:09.2,クビ,6-7,34.5,506,-2,松下 武士,1
2,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,3,5,9,インディチャンプ,牡6,57.0,福永 祐一,1:09.3,クビ,11-9,34.5,478,-6,音無 秀孝,3
3,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,4,7,13,トゥラヴェスーラ,牡6,57.0,鮫島 克駿,1:09.4,3/4,11-12,34.4,476,-6,高橋 康之,16
4,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,5,2,4,モズスーパーフレア,牝6,55.0,松若 風馬,1:09.5,1/2,1-1,35.4,498,-2,音無 秀孝,6
5,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,6,8,17,サウンドキアラ,牝6,55.0,松山 弘平,1:09.6,3/4,6-9,34.8,462,+6,安達 昭夫,7
6,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,7,4,8,エイティーンガール,牝5,55.0,酒井 学,1:09.6,クビ,16-17,34.3,452,+2,飯田 祐史,12
7,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,8,7,15,マルターズディオサ,牝4,55.0,田辺 裕信,1:09.6,アタマ,13-13,34.5,452,+2,手塚 貴久,9
8,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,9,6,12,セイウンコウセイ,牡8,57.0,幸 英明,1:09.7,クビ,2-3,35.2,504,+4,上原 博之,13
9,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,10,8,18,ミッキーブリランテ,牡5,57.0,和田 竜二,1:09.8,3/4,13-13,34.7,480,+4,矢作 芳人,11
10,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,11,3,5,ダイメイフジ,牡7,57.0,菱田 裕二,1:09.8,ハナ,15-15,34.6,532,+10,森田 直行,18
11,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,12,3,6,ダノンファンタジー,牝5,55.0,藤岡 佑介,1:10.0,1,2-2,35.6,470,-6,中内田 充正,8
12,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,13,4,7,アストラエンブレム,せん8,57.0,杉原 誠人,1:10.1,1/2,16-15,34.9,486,0,小島 茂之,17
13,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,14,5,10,ラウダシオン,牡4,57.0,M.デムーロ,1:10.1,アタマ,2-3,35.6,512,0,斉藤 崇史,5
14,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,15,6,11,カツジ,牡6,57.0,中井 裕二,1:10.2,3/4,6-7,35.5,506,+2,池添 兼雄,14
15,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,16,1,1,アウィルアウェイ,牝5,55.0,吉田 隼人,1:10.4,1 1/4,18-18,35.0,480,+4,高野 友和,15
16,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,17,2,3,ライトオンキュー,牡6,57.0,横山 典弘,1:10.9,3,6-5,36.3,510,+4,昆 貢,4
17,2021-03-28,高松宮記念,4歳以上,オープン,国際指定,定量,1200メートル芝左,18,1,2,,牡7,57.0,池添 謙一,1:11.3,2 1/2,5-5,36.7,480,+4,庄野 靖志,10
0,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,1,5,9,ドウデュース,牡2,55.0,武 豊,1:33.5,,8-7,34.5,496,-10,友道 康夫,3
1,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,2,3,4,セリフォス,牡2,55.0,C.デムーロ,1:33.6,1/2,5-5,34.8,486,0,中内田 充正,1
2,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,3,4,7,ダノンスコーピオン,牡2,55.0,松山 弘平,1:33.7,1/2,8-9,34.6,458,-4,安田 隆行,4
3,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,4,2,3,アルナシーム,牡2,55.0,池添 謙一,1:34.0,1 3/4,12-12,34.7,432,-6,橋口 慎介,8
4,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,5,7,13,ジオグリフ,牡2,55.0,C.ルメール,1:34.0,ハナ,14-13,34.5,496,+4,木村 哲也,2
5,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,6,7,12,トウシンマカオ,牡2,55.0,戸崎 圭太,1:34.0,ハナ,3-3,35.4,450,-2,高柳 瑞樹,9
6,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,7,6,11,ドーブネ,牡2,55.0,吉田 隼人,1:34.5,3,12-9,35.3,480,+12,武 幸四郎,5
7,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,8,5,8,,牡2,55.0,M.デムーロ,1:34.6,1/2,3-3,35.9,490,+2,須貝 尚介,6
8,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,9,8,14,トゥードジボン,牡2,55.0,藤岡 佑介,1:34.7,1/2,2-2,36.3,476,+4,四位 洋文,13
9,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,10,6,10,スプリットザシー,牝2,54.0,和田 竜二,1:34.7,クビ,10-9,35.5,394,+2,西村 真幸,12
10,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,11,3,5,ヴィアドロローサ,牡2,55.0,鮫島 克駿,1:35.0,1 3/4,10-13,35.6,446,0,加藤 征弘,10
11,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,12,4,6,オタルエバー,牡2,55.0,幸 英明,1:35.0,クビ,5-5,36.2,456,-6,中竹 和也,7
12,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,13,2,2,セッカチケーン,牡2,55.0,団野 大成,1:35.1,クビ,5-7,36.1,500,-2,高柳 瑞樹,14
13,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,14,1,1,カジュフェイス,牡2,55.0,秋山 真一郎,1:35.4,1 1/2,1-1,37.1,484,+8,森田 直行,11
14,2021-12-19,朝日杯フューチュリティステークス,2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,15,8,15,シンリミテス,牡2,55.0,国分 優作,1:37.4,大差,15-15,37.6,480,+2,大根田 裕之,15
0,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,1,6,11,ラウダシオン,牡3,57.0,M.デムーロ,1:32.5,,2-2,34.4,494,0,斉藤 崇史,9
1,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,2,2,3,レシステンシア,牝3,55.0,C.ルメール,1:32.7,1 1/2,1-1,34.7,476,-6,松下 武士,1
2,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,3,3,6,ギルデッドミラー,牝3,55.0,福永 祐一,1:32.8,3/4,6-5,34.2,468,0,松永 幹夫,6
3,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,4,1,2,タイセイビジョン,牡3,57.0,石橋 脩,1:32.8,ハナ,3-3,34.5,468,-6,西村 真幸,2
4,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,5,7,14,ルフトシュトローム,牡3,57.0,D.レーン,1:33.0,1 1/4,15-14,34.0,482,0,堀 宣行,4
5,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,6,3,5,シャインガーネット,牝3,55.0,田辺 裕信,1:33.1,アタマ,8-5,34.5,464,+4,栗田 徹,7
6,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,7,8,18,ウイングレイテスト,牡3,57.0,横山 武史,1:33.1,ハナ,18-18,33.7,486,-4,青木 孝文,8
7,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,8,5,9,ラインベック,牡3,57.0,武士沢 友治,1:33.1,ハナ,8-5,34.6,468,-8,友道 康夫,11
8,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,9,6,12,ボンオムトゥック,牝3,55.0,田中 勝春,1:33.4,1 3/4,6-5,34.9,450,0,高橋 亮,12
9,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,10,7,15,ソウルトレイン,牡3,57.0,藤井 勘一郎,1:33.5,1/2,12-14,34.5,462,-2,西村 真幸,15
10,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,11,4,7,メイショウチタン,牡3,57.0,吉田 豊,1:33.5,アタマ,10-10,34.7,454,-2,本田 優,18
11,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,12,8,16,ストーンリッジ,牡3,57.0,松田 大作,1:33.5,アタマ,3-3,35.2,456,0,藤原 英昭,13
12,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,13,8,17,サトノインプレッサ,牡3,57.0,武 豊,1:33.7,1 1/4,17-14,34.7,482,-6,矢作 芳人,3
13,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,14,4,8,サクセッション,牡3,57.0,横山 典弘,1:33.8,1/2,10-10,35.1,514,+4,国枝 栄,5
14,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,15,2,4,プリンスリターン,牡3,57.0,原田 和真,1:33.9,1/2,3-5,35.4,450,0,加用 正,10
15,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,16,1,1,シャチ,牡3,57.0,木幡 育也,1:34.1,1 1/4,12-13,35.2,456,0,小桧山 悟,16
16,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,17,5,10,ハーモニーマゼラン,牡3,57.0,大野 拓弥,1:34.3,1 1/4,12-10,35.5,510,-6,牧 光二,14
17,2020-05-10,ＮＨＫマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,18,7,13,ニシノストーム,牡3,57.0,江田 照男,1:34.7,2 1/2,15-17,35.4,486,-6,杉浦 宏昭,17
