,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
6,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,7,5,9,クリノガウディー,牡3,56.0,藤岡 佑介,1:33.6,クビ,6-5,34.4,488,+4,藤沢 則雄,12
7,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,8,1,2,グァンチャーレ,牡7,57.0,松岡 正海,1:33.8,1 1/4,3-3,34.8,474,+2,北出 成人,11
8,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,9,2,4,レッドオルガ,牝5,55.0,岩田 望来,1:33.8,クビ,10-10,34.2,452,-2,藤原 英昭,15
9,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,10,8,15,ダイアトニック,牡4,57.0,C.スミヨン,1:33.8,クビ,13-12,34.0,472,-4,安田 隆行,4
10,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,11,4,8,プリモシーン,牝4,55.0,W.ビュイック,1:33.9,1/2,8-7,34.5,496,-10,木村 哲也,9
11,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,12,7,13,タイムトリップ,牡5,57.0,幸 英明,1:34.1,1,17-16,33.8,504,+6,菊川 正達,17
12,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,13,3,6,フィアーノロマーノ,牡5,57.0,藤岡 康太,1:34.1,クビ,2-2,35.2,552,+8,高野 友和,14
13,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,14,6,12,モズアスコット,牡5,57.0,和田 竜二,1:34.2,クビ,8-7,34.8,498,0,矢作 芳人,7
14,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,15,8,17,,牡4,57.0,C.ルメール,1:34.3,1/2,15-16,34.4,484,-2,藤沢 和雄,8
15,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,16,5,10,,牡5,57.0,R.ムーア,1:34.9,3 1/2,10-10,35.4,526,+10,池江 泰寿,5
16,2019-11-17,マイルチャンピオンシップ,3歳以上,オープン,国際指定,定量,1600メートル芝右 外,17,8,16,エメラルファイト,牡3,56.0,石川 裕紀人,1:35.0,3/4,13-14,35.2,450,0,相沢 郁,16
0,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,1,6,11,チュウワウィザード,牡5,57.0,戸崎 圭太,1:49.3,,8-7-5-4,36.4,486,+3,大久保 龍志,4
1,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,2,1,2,ゴールドドリーム,牡7,57.0,和田 竜二,1:49.7,2 1/2,11-10-8-7,36.6,532,+2,平田 修,3
2,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,3,7,13,インティ,牡6,57.0,武 豊,1:49.7,クビ,2-2-1-2,37.4,518,+7,野中 賢二,10
3,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,4,8,15,クリソベリル,牡4,57.0,川田 将雅,1:49.9,3/4,7-3-3-3,37.3,554,+12,音無 秀孝,1
4,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,5,6,12,モズアスコット,牡6,57.0,横山 武史,1:50.0,3/4,14-14-13-12,36.4,492,+2,矢作 芳人,11
5,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,6,4,7,カフェファラオ,牡3,56.0,C.ルメール,1:50.2,1,10-7-8-9,37.1,504,-6,堀 宣行,2
6,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,7,3,6,エアスピネル,牡7,57.0,福永 祐一,1:50.2,クビ,13-13-13-12,36.6,492,-2,笹田 和秀,12
7,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,8,1,1,タイムフライヤー,牡5,57.0,藤岡 佑介,1:50.3,クビ,8-10-10-7,37.1,482,+6,松田 国英,7
8,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,9,5,9,アルクトス,牡5,57.0,田辺 裕信,1:50.3,ハナ,4-7-5-4,37.4,544,+2,栗田 徹,9
9,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,10,2,4,エアアルマス,牡5,57.0,松山 弘平,1:50.4,1/2,1-1-2-1,38.1,494,-4,池添 学,8
10,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,11,3,5,クリンチャー,牡6,57.0,三浦 皇成,1:50.5,1/2,11-12-12-10,37.2,494,+4,宮本 博,5
11,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,12,4,8,サンライズノヴァ,牡6,57.0,松若 風馬,1:50.9,2 1/2,14-15-15-15,37.0,534,+4,音無 秀孝,6
12,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,13,5,10,アナザートゥルース,せん6,57.0,M.デムーロ,1:51.1,1 1/4,3-3-3-4,38.4,486,-7,高木 登,13
13,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,14,8,16,,牡7,57.0,藤岡 康太,1:51.6,3,16-15-15-15,37.8,592,+8,堀 宣行,16
14,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,15,2,3,メイショウワザシ,牡5,57.0,高倉 稜,1:52.8,7,4-5-10-12,39.6,542,+6,南井 克巳,15
15,2020-12-06,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,16,7,14,ヨシオ,牡7,57.0,亀田 温心,1:52.8,クビ,4-5-5-10,39.9,490,+4,森 秀行,14
0,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,1,4,6,アドマイヤマーズ,牡2,55.0,M.デムーロ,1:33.9,,3-3,33.9,470,-2,友道 康夫,2
1,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,2,1,1,クリノガウディー,牡2,55.0,藤岡 佑介,1:34.2,2,4-4,34.0,492,+2,藤沢 則雄,9
2,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,3,2,2,グランアレグリア,牝2,54.0,C.ルメール,1:34.3,1/2,2-2,34.6,482,+6,藤沢 和雄,1
3,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,4,8,14,ファンタジスト,牡2,55.0,武 豊,1:34.5,1 1/2,6-6,33.9,474,0,梅田 智之,3
4,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,5,5,8,ディープダイバー,牡2,55.0,川田 将雅,1:34.7,1 1/4,4-4,34.5,452,0,大久保 龍志,11
5,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,6,8,15,エメラルファイト,牡2,55.0,W.ビュイック,1:35.1,2 1/2,14-13,33.5,448,+4,相沢 郁,7
6,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,7,2,3,アスターペガサス,牡2,55.0,福永 祐一,1:35.4,1 1/2,6-6,34.8,498,-4,中竹 和也,8
7,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,8,6,10,ヒラソール,牡2,55.0,岩田 康誠,1:35.5,1/2,8-8,34.6,460,+2,加用 正,14
8,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,9,5,9,イッツクール,牡2,55.0,松田 大作,1:35.6,1/2,1-1,36.1,470,0,武 英智,12
9,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,10,3,5,マイネルサーパス,牡2,55.0,丹内 祐次,1:35.7,3/4,12-13,34.1,478,+2,高木 登,5
10,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,11,7,12,コパノマーティン,牡2,55.0,坂井 瑠星,1:35.9,1 1/4,9-12,34.4,474,-4,村山 明,15
11,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,12,3,4,ドゴール,牡2,55.0,津村 明秀,1:36.0,クビ,9-10,34.7,458,+10,黒岩 陽一,6
12,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,13,6,11,ケイデンスコール,牡2,55.0,C.デムーロ,1:36.0,ハナ,12-10,34.6,468,+6,安田 隆行,4
13,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,14,4,7,ソルトイブキ,牡2,55.0,四位 洋文,1:36.4,2 1/2,14-15,34.6,476,+2,木原 一良,13
14,2018-12-16,朝日杯フューチュリティステークス,サラ系2歳,オープン,国際牡牝指定,馬齢,1600メートル芝右 外,15,7,13,ニホンピロヘンソン,牡2,55.0,浜中 俊,1:36.6,1 1/4,9-9,35.5,472,+4,安達 昭夫,10
0,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,1,8,16,タイトルホルダー,牡4,58.0,横山 和生,3:16.2,,1-1-1-1,36.4,474,-2,栗田 徹,2
1,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,2,8,18,ディープボンド,牡5,58.0,和田 竜二,3:17.3,7,4-4-4-3,37.1,504,-6,大久保 龍志,1
2,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,3,4,7,テーオーロイヤル,牡4,58.0,菱田 裕二,3:17.4,1,4-4-2-2,37.4,460,+4,岡田 稲男,4
3,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,4,5,9,ヒートオンビート,牡5,58.0,池添 謙一,3:18.0,3 1/2,9-11-9-7,37.0,478,-2,友道 康夫,5
4,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,5,1,1,アイアンバローズ,牡5,58.0,石橋 脩,3:18.3,2,6-6-6-4,37.7,496,-2,上村 洋行,3
5,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,6,6,11,マイネルファンロン,牡7,58.0,松岡 正海,3:18.7,2 1/2,9-9-7-7,37.9,478,-12,手塚 貴久,14
6,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,7,7,13,ロバートソンキー,牡5,58.0,伊藤 工真,3:18.8,3/4,12-12-12-11,37.5,470,-12,林 徹,10
7,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,8,7,14,ヴァルコス,牡5,58.0,三浦 皇成,3:18.9,1/2,9-9-9-11,37.6,518,0,友道 康夫,17
8,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,9,3,6,メロディーレーン,牝6,56.0,岩田 望来,3:19.0,クビ,7-8-7-10,38.0,352,+6,森田 直行,16
9,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,10,5,10,トーセンカンビーナ,牡6,58.0,藤岡 康太,3:19.4,2 1/2,17-17-17-14,37.8,472,-2,加藤 征弘,18
10,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,11,3,5,マカオンドール,牡4,58.0,松山 弘平,3:20.2,5,13-14-9-9,39.3,488,-4,今野 貞一,6
11,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,12,2,3,ディバインフォース,牡6,58.0,田辺 裕信,3:20.2,ハナ,16-15-16-14,38.7,462,-2,寺島 良,12
12,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,13,2,4,ユーキャンスマイル,牡7,58.0,藤岡 佑介,3:20.7,2 1/2,14-12-12-11,39.4,516,+2,友道 康夫,13
13,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,14,4,8,クレッシェンドラヴ,牡8,58.0,内田 博幸,3:21.1,2 1/2,2-2-2-4,40.7,496,-10,林 徹,15
14,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,15,6,12,,牡6,58.0,武 豊,3:21.1,クビ,14-15-12-14,39.6,476,-8,国枝 栄,11
15,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,16,1,2,ハーツイストワール,牡6,58.0,C.ルメール,3:22.2,7,7-6-5-4,41.6,480,-10,国枝 栄,7
16,2022-05-01,天皇賞春,4歳以上,オープン,国際指定,定量,3200メートル芝右 外→内,17,7,15,タガノディアマンテ,牡6,58.0,幸 英明,3:24.1,大差,3-3-12-17,41.5,484,0,鮫島 一歩,9
0,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,1,8,12,リスグラシュー,牝5,56.0,D.レーン,2:10.8,,2-2-2-2,35.2,460,+2,矢作 芳人,3
1,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,2,1,1,キセキ,牡5,58.0,川田 将雅,2:11.3,3,1-1-1-1,35.8,506,-2,角居 勝彦,1
